ranking	entry_name	numSpectra1	totalIntensity01	numSpectr02	totalIntensity02	numColumnsProteinObserved	numSpectraProteinObserved	protein_mw	species	numSpeciesPresentR1	numPepsUniqueSharedSpecies	numSpectraSharedSpecies	totalIntensitySharedSpecies	numPepsUniqueSpecies1	numSpectraSpecies1	totalIntensitySpecies1	numPepsUniqueSpecies2	accession_number	accession_numbers	coverage_map	coverage_maps	percentCoverage	percentCoverages	numPepsUnique	scoreUnique	scoresUnique	groupNum	subgroupNum
46	Isoform 2 of Haptoglobin-related protein	14	1.99E+10	14	2.05E+10	2	28	44103.7	HUMAN	1			0.00E+00	13	28	4.04E+10	0	P00739-2	P00739-2|P00739	0+95+15+5+42+37+20+26+9+7+14+115	0+95+15+5+42+37+20+26+9+7+14+115|0+58+15+5+42+37+20+26+9+7+14+115	25.9	25.9|28.7	13	131.05	131.05|131.05	30	30.2
47	Superoxide dismutase [Cu-Zn]	9	1.41E+10	13	2.56E+10	2	22	16163.7	HUMAN	1	2	4	2.31E+09	7	18	3.74E+10	0	P00441	P00441|H7BYH4|P08228	0+4+20+7+39+10+57+7+10	0+4+20+7+39+10+57+7+10|0+12+39+10+57+7+10|0+4+6+134+10	81.8	81.8|78.5|10.3	9	102.48	102.48|85.23|17.85	110	110.1
48	Plasminogen	48	1.92E+10	44	2.25E+10	2	92	93306	HUMAN	1	5	11	4.59E+09	37	81	3.71E+10	0	P00747	P00747|Q5TEH5|P20918|Q15195|Q02325	0+52+28+7+17+22+46+27+28+12+86+5+13+68+34+47+31+9+43+5+19+2+63+6+26+21+10+4+7+31+26+3+10+2	0+52+28+7+17+22+46+27+28+12+86+5+13+68+34+47+31+9+43+5+19+2+63+6+26+21+10+4+7+31+26+3+10+2|0+52+28+7+17+22+10|0+97+7+205+8+402+10+42+26+15|0+62+7+18+9|0+62+18+16	60.1	60.1|40.4|6.2|16.6|18.7	42	506.43	506.43|81.03|52.37|27.29|16.67	7	7.1
49	Fibrinogen beta chain	26	2.63E+10	29	3.21E+10	2	55	56611.8	HUMAN	1	10	23	2.21E+10	14	32	3.63E+10	0	P02675	P02675|D6REL8|Q8K0E8	0+51+21+15+37+39+33+3+7+18+15+7+21+18+10+5+48+5+14+28+26+5+10+9+33+5+8	0+51+21+15+37+39+33+3+7+18+15+7+21+18+10+5+48+5+14+28+26+5+10+9+33+5+8|0+5+15+7+21+18+10+5+48+5+14+28+26+5+10+9+33+5+8|0+214+15+46+10+33+20+47+15+16+10+22+20+5+8	57.6	57.6|68|20.3	24	267.63	267.63|178.59|90.29	35	35.1
50	Thyroxine-binding globulin	5	1.76E+10	9	1.63E+10	2	14	46666	HUMAN	1			0.00E+00	9	14	3.39E+10	0	P05543	P05543	0+145+6+19+12+2+23+11+11+34+10+25+9+45+8+29+9+3+7+7	0+145+6+19+12+2+23+11+11+34+10+25+9+45+8+29+9+3+7+7	22.8	22.8	9	85.22	85.22	136	136.1
51	Beta-Ala-His dipeptidase	29	2.10E+10	33	2.20E+10	2	62	56819.2	HUMAN	1	6	13	1.01E+10	22	51	3.33E+10	1	Q96KN2	Q96KN2|J3KRP0|Q8BUG2	0+37+50+53+17+4+55+19+19+57+10+7+34+30+9+34+48+3+21	0+37+50+53+17+4+55+19+19+57+10+7+34+30+9+34+48+3+21|0+11+33+53+17+4+55+19+19+57+10+7+34+30+9+34+48+3+21|0+29+15+166+9+84+34+84+9+62	51.8	51.8|53|13.6	26	295.7	295.7|281.92|68.16	28	28.1
52	Isoform 2 of Amyloid-like protein 1	34	2.90E+10	37	3.86E+10	2	71	72930.9	HUMAN	1	11	32	3.46E+10	14	39	3.29E+10	0	P51693-2	P51693-2|P51693|B7Z4G8|F5GZ08|Q03157	0+73+7+3+7+6+105+113+6+10+10+7+22+2+43+15+12+5+13+67+23+102	0+73+7+3+7+6+105+113+6+10+10+7+22+2+43+15+12+5+13+67+23+102|0+73+7+3+7+6+105+113+6+10+10+7+22+2+43+15+12+5+13+66+23+102|0+67+7+3+7+6+105+113+6+10+10+7+22+2+43+15+12+5+13+66+23+102|0+34+7+3+7+6+105+113+6+10+10+7+22+2+43+15+12+5+13+66+23+102|0+72+7+77+44+117+6+27+22+2+17+41+12+209	38	38|38.1|38.5|40.5|16.5	25	306.57	306.57|306.57|306.57|306.57|141.24	26	26.1
53	Ig alpha-1 chain C region	10	1.31E+10	11	1.75E+10	2	21	38509.8	HUMAN	1			0.00E+00	11	21	3.06E+10	0	P01876	P01876|P01877	0+51+30+72+59+9+32+10+10+2+52+26	0+51+30+72+59+9+32+10+10+2+52+26|0+155+9+44+32+10+10+2+52+26	51.8	51.8|30.2	11	140.76	140.76|94.51	88	88.1
54	Isoform 2 of Ig mu chain C region	14	1.22E+10	14	1.52E+10	2	28	52417	HUMAN	1			0.00E+00	15	28	2.74E+10	0	P01871-2	P01871-2|P01871|P04220	0+54+7+3+25+10+29+14+8+3+32+38+15+77+23+30+23+82	0+54+7+3+25+10+29+14+8+3+32+38+15+77+23+30+23+82|0+54+7+3+25+10+29+14+8+3+32+38+15+77+23+30+23+61|0+50+16+41+16+38+15+77+23+30+23+62	34.2	34.2|35.8|23.7	15	141.21	141.21|141.21|85.46	86	86.1
55	Ig gamma-4 chain C region	6	1.58E+10	7	1.17E+10	2	13	36453.4	HUMAN	1			0.00E+00	5	13	2.74E+10	0	P01861	P01861	0+4+12+112+7+46+19+72+17+38	0+4+12+112+7+46+19+72+17+38	16.8	16.8	5	65.73	65.73	90	90.4
56	Transthyretin	15	1.17E+10	19	1.53E+10	2	34	16000.8	HUMAN	1			0.00E+00	14	34	2.70E+10	0	P02766	P02766	0+29+67+4+47	0+29+67+4+47	77.5	77.5	14	188.69	188.69	56	56.1
57	Secretogranin-3	35	2.16E+10	34	1.81E+10	2	69	53004.4	HUMAN	1	9	17	1.36E+10	19	52	2.61E+10	0	Q8WXD2	Q8WXD2|Q8WXD2-2|P47867|P47867-2	0+34+22+46+10+2+10+6+24+4+7+9+25+30+32+3+21+9+17+4+25+13+22+27+19+3+39+5	0+34+22+46+10+2+10+6+24+4+7+9+25+30+32+3+21+9+17+4+25+13+22+27+19+3+39+5|0+10+19+3+21+9+17+4+25+13+22+27+19+3+39+5|0+133+24+4+7+129+17+93+17+3+11+33|0+133+24+4+7+129+17+88+17+3+11+33	58.3	58.3|68.6|16.1|16.3	28	272.6	272.6|164.44|75.16|75.16	33	33.1
58	Retinol-binding protein 4	11	1.22E+10	13	1.36E+10	2	24	23351.9	HUMAN	1			0.00E+00	9	24	2.58E+10	0	P02753	P02753|Q5VY30	0+28+7+2+10+60+61+3+10+3+11+6	0+28+7+2+10+60+61+3+10+3+11+6|0+26+7+2+10+60+61+3+10+3+11+6	49.2	49.2|49.7	9	104.18	104.18|104.18	108	108.1
59	Antithrombin-III	33	1.99E+10	38	2.67E+10	2	71	53057.9	HUMAN	1	14	29	2.28E+10	18	42	2.38E+10	0	P01008	P01008|P32261	0+45+11+4+25+4+34+16+18+14+6+24+7+21+25+6+8+5+16+4+29+32+48+23+6+4+22+7	0+45+11+4+25+4+34+16+18+14+6+24+7+21+25+6+8+5+16+4+29+32+48+23+6+4+22+7|0+79+7+17+21+16+18+44+7+52+8+25+29+69+11+23+6+33	54.9	54.9|23	32	355.33	355.33|143.96	19	19.1
60	Isoform 5 of EGF-containing fibulin-like extracellular matrix protein 1	17	8.23E+09	21	1.52E+10	2	38	40563.9	HUMAN	1			0.00E+00	19	38	2.35E+10	0	Q12805-5	Q12805-5	0+2+13+67+45+9+25+16+13+2+28+4+34+8+23+2+54+10	0+2+13+67+45+9+25+16+13+2+28+4+34+8+23+2+54+10	66.1	66.1	19	200.81	200.81	44	44.2
61	Ig gamma-2 chain C region	6	8.71E+09	9	1.29E+10	2	15	36527.6	HUMAN	1			0.00E+00	8	15	2.16E+10	0	P01859	P01859	0+4+12+111+7+46+19+6+8+10+16+32+17+38	0+4+12+111+7+46+19+6+8+10+16+32+17+38	24.2	24.2	8	97.57	97.57	90	90.3
62	Alpha-1-antichymotrypsin	14	9.17E+09	21	1.05E+10	2	35	47821.2	HUMAN	1			0.00E+00	18	35	1.96E+10	0	P01011	P01011|G3V3A0|P01011-2	0+144+41+12+33+53+32+5+70+33	0+144+41+12+33+53+32+5+70+33|0+65+32+5+70+33|0+144+41+12+17+2	41.6	41.6|49.7|26.8	18	195.52	195.52|102.85|68.52	52	52.1
63	"Keratin, type II cytoskeletal 1"	23	1.14E+10	28	1.25E+10	2	51	66208.7	HUMAN	1	6	15	3.68E+09	19	32	1.95E+10	0	P04264	P04264|Q5XQN5|Q922U2|P05787-2|P05787|Q6IFZ6|Q9Z331|Q8BGZ7|Q3UV11|P50446|P11679|Q7Z794|P04104|Q6NXH9|P04259|P02538|P48668|Q8VED5|P08729|Q9DCV7|Q9R0H5|Q6IFZ9|P19013|E9Q1Z0|Q3UV17|Q9Z2T6|E9Q0F0|Q6KB66-3|Q6KB66|P14136-2|P14136|P14136-3|Q6KB66-2|P03995|P03995-2	0+65+17+103+12+2+40+1+6+21+10+12+9+45+33+19+8+4+25+9+14+8+29+110+14+28	0+65+17+103+12+2+40+1+6+21+10+12+9+45+33+19+8+4+25+9+14+8+29+110+14+28|0+179+7+70+10+66+12+52+10+195|0+172+7+70+10+66+12+52+10+181|0+129+7+68+10+195+11+1+8+82|0+101+7+68+10+195+11+1+8+82|0+177+7+2+12+56+10+308|0+170+7+72+8+66+12+227|0+160+7+72+8+66+12+226|0+162+7+72+8+66+12+227|0+162+7+72+8+66+12+226|0+107+7+68+10+207+8+83|0+174+7+2+12+58+8+317|0+198+7+2+12+58+8+352|0+141+7+2+12+261+11+105|0+173+7+70+10+304|0+173+7+70+10+304|0+173+7+70+10+304|0+149+7+71+10+294|0+101+7+274+11+1+8+67|0+95+7+274+11+1+8+61|0+141+7+2+12+362|0+116+7+2+12+358|0+161+7+275+11+80|0+153+7+273+11+94|0+175+7+160+9+243|0+133+7+273+11+83|0+110+12+946|0+408+11+68|0+373+11+68|0+356+11+71|0+356+11+65|0+356+11+64|0+373+11+38|0+353+11+66|0+353+11+64	33.6	33.6|6.4|6.7|7|7.4|5|4.8|4.9|4.8|4.8|5.1|4.6|4.2|5.5|3|3|3|3.2|5.5|5.6|3.6|3.8|3.3|3.3|2.6|3.5|1.1|2.2|2.4|2.5|2.5|2.5|2.6|2.5|2.5	24	262.12	262.12|61.29|61.29|41.01|41.01|38.22|34.44|34.44|34.44|34.44|34.3|29.68|29.68|26.22|26.19|26.19|26.19|26.19|22.3|22.3|19.51|19.51|14.19|14.19|14.05|12.63|12.1|6.71|6.71|6.71|6.71|6.71|6.71|6.71|6.71	38	38.1
64	Alpha-1-acid glycoprotein 2	6	7.56E+09	7	1.04E+10	2	13	23887.5	HUMAN	1			0.00E+00	6	13	1.79E+10	0	P19652	P19652	0+42+9+22+8+32+10+3+27+17+9+22	0+42+9+22+8+32+10+3+27+17+9+22	31.3	31.3	6	69.02	69.02	101	101.2
65	Isoform 2 of Neural cell adhesion molecule L1-like protein	19	9.99E+09	29	1.17E+10	2	48	137779.7	HUMAN	1	5	11	4.39E+09	15	38	1.78E+10	0	O00533-2	O00533-2|O00533|P70232|P70232-2	0+60+22+11+13+51+28+67+18+22+7+82+19+118+10+156+13+4+34+52+13+43+8+28+6+29+25+3+14+54+23+191	0+60+22+11+13+51+28+67+18+22+7+82+19+118+10+156+13+4+34+52+13+43+8+28+6+29+25+3+14+54+23+191|0+60+22+11+13+51+28+51+18+22+7+82+19+118+10+156+13+4+34+52+13+43+8+28+6+29+25+3+14+54+23+191|0+93+13+51+22+648+8+28+6+57+14+269|0+93+13+51+22+664+8+28+6+57+14+194	20.6	20.6|20.9|5.2|5.4	19	214.62	214.62|214.62|43.22|43.22	48	48.1
66	Beta-2-glycoprotein 1	14	8.99E+09	19	1.34E+10	2	33	39609.7	HUMAN	1	1	3	4.81E+09	13	30	1.75E+10	0	P02749	P02749|Q01339	0+21+37+4+16+4+14+33+25+75+21+19+10+16+6+4+19+3+18	0+21+37+4+16+4+14+33+25+75+21+19+10+16+6+4+19+3+18|0+327+9+9	48.1	48.1|2.6	14	159.35	159.35|9.82	68	68.1
67	Amyloid beta A4 protein	30	2.14E+10	25	1.96E+10	2	55	87968.7	HUMAN	1	20	45	2.41E+10	4	10	1.69E+10	0	P05067	P05067|P05067-8|P05067-11|P05067-9|P05067-7|E9PG40|P05067-6|P05067-4|P05067-5|P05067-3|P05067-10|P12023|P12023-3|P12023-2|P05067-2	0+40+11+55+26+2+21+6+19+108+13+5+9+62+16+12+13+11+31+10+25+15+6+52+33+47+28+11+12+71	0+40+11+55+26+2+21+6+19+108+13+5+9+62+16+12+13+11+31+10+25+15+6+52+33+47+28+11+12+71|0+40+11+55+26+2+21+6+19+108+13+5+9+43+16+12+13+11+31+10+25+15+6+52+33+47+28+11+12+71|0+35+11+55+26+2+21+6+19+108+13+5+9+43+16+12+13+11+31+10+25+15+6+52+33+47+28+11+12+71|0+40+11+55+26+2+21+6+19+108+13+5+9+62+16+12+13+11+31+10+25+15+6+52+33+43+14+11+12+71|0+40+11+55+26+2+21+6+19+108+13+5+9+43+16+12+13+11+31+10+25+15+6+52+33+43+14+11+12+71|0+50+26+2+21+6+19+108+13+5+9+62+16+12+13+11+31+10+25+15+6+52+33+47+28+11+12+71|0+40+11+55+26+2+21+6+19+141+16+12+13+11+31+10+25+15+6+52+33+47+28+11+12+71|0+40+11+55+26+2+21+6+19+122+16+12+13+11+31+10+25+15+6+52+33+47+28+11+12+71|0+40+11+55+26+2+21+6+19+141+16+12+13+11+31+10+25+15+6+52+33+43+14+11+12+71|0+40+11+55+26+2+21+6+19+122+16+12+13+11+31+10+25+15+6+52+33+43+14+11+12+71|0+50+26+2+21+6+19+122+16+12+13+11+31+10+25+15+6+52+33+47+28+11+12+71|0+40+11+65+16+2+21+6+19+108+13+5+9+62+16+12+13+11+31+50+6+52+33+47+22+17+12+71|0+40+11+65+16+2+21+6+19+108+13+5+9+55+13+11+31+50+6+52+33+47+22+17+12+71|0+40+11+65+16+2+21+6+19+122+16+12+13+11+31+50+6+52+33+47+22+17+12+71|0+40+11+55+26+2+21+6+19+125	34.1	34.1|35|35.2|33.1|33.9|35.2|33.7|34.6|32.6|33.5|35.9|28.8|28|28.7|25.2	24	250.52	250.52|250.52|250.52|241.96|241.96|241.01|231.82|231.82|223.26|223.26|222.31|211.99|196.27|193.29|79.36	42	42.1
68	Insulin-like growth factor-binding protein 6	7	7.11E+09	9	9.79E+09	2	16	26234.9	HUMAN	1			0.00E+00	6	16	1.69E+10	0	P24592	P24592|F8VYK9|F8VVA5	0+66+35+7+10+47+28+15+9+23	0+66+35+7+10+47+28+15+9+23|0+66+35+62+28+15+9+23|0+66+35+35	34.1	34.1|30.2|25.7	6	79.64	79.64|69.05|23.24	140	140.1
69	Isoform 5 of Neuronal cell adhesion molecule	27	1.03E+10	38	1.37E+10	2	65	145228.4	HUMAN	1	9	16	7.26E+09	19	49	1.68E+10	0	Q92823-5	Q92823-5|Q92823|Q92823-2|Q92823-6|Q92823-3|F8W775|Q92823-4|C9JYY6|Q810U4-3|Q810U4|Q810U4-2|Q810U4-4|Q810U4-5	0+37+24+10+11+47+20+44+20+51+20+59+13+35+34+110+24+9+15+78+68+76+15+81+87+320	0+37+24+10+11+47+20+44+20+51+20+59+13+35+34+110+24+9+15+78+68+76+15+81+87+320|0+37+24+10+11+47+20+44+20+51+20+59+13+35+34+110+24+9+15+78+68+76+15+81+87+316|0+37+24+10+11+47+20+44+20+51+20+59+13+35+34+110+24+9+15+78+68+76+15+81+87+248|0+37+24+10+11+47+20+44+20+32+20+59+13+35+34+110+24+9+15+78+68+76+15+81+87+223|0+37+24+10+11+47+20+44+20+32+20+59+13+35+34+110+24+9+15+78+68+76+15+81+87+211|0+54+7+10+11+47+20+44+20+51+20+59+13+35+34+110+24+9+15+78+68+76+15+81+87+248|0+48+7+10+11+47+20+44+20+51+20+59+13+35+34+110+24+9+15+68+68+76+15+81+87+211|0+54+7+10+11+47+20+44+20+32+20+59+13+35+34+110+24+9+15+78+68+76+15+81+87+211|0+48+7+10+11+47+20+44+20+322+8+7+9+151+10+85+15+446|0+48+7+10+11+47+20+44+20+322+8+7+9+151+10+85+15+442|0+48+7+10+11+47+20+44+20+322+8+7+9+141+10+85+15+382|0+48+7+10+11+47+20+44+20+52|0+54+7+10+11+47+20+44+20+47	26.8	26.8|26.9|28.3|29.4|29.7|27|28.2|28.3|7.9|7.9|8.4|22.3|22.3	28	330.89	330.89|330.89|330.89|330.89|330.89|319.75|319.75|319.75|96.84|96.84|96.84|56.53|56.53	22	22.1
70	Isoform 15 of Fibronectin	42	1.46E+10	50	1.65E+10	2	92	275909.8	HUMAN	1	17	35	1.45E+10	29	57	1.66E+10	0	P02751-15	P02751-15|P02751|P02751-11|P02751-8|P02751-7|P02751-3|P02751-17|P02751-6|P02751-14|P02751-13|P02751-9|P02751-10|P02751-5|P02751-12|P02751-4|P02751-16|P11276|P02751-2	0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+344+7+2+61+27+21+24+15+22+12+76+12+174+92+9+9+125+21+58+15+59+21+5+10+41+26+8+22+30	0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+344+7+2+61+27+21+24+15+22+12+76+12+174+92+9+9+125+21+58+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+76+12+174+92+9+9+125+21+58+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+76+12+174+92+9+9+125+21+58+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+172+92+9+9+125+21+58+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+344+7+2+61+27+21+24+15+22+12+76+12+174+92+9+9+173+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+76+12+174+92+9+9+173+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+76+12+174+92+9+9+148+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+76+12+174+92+9+9+76+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+172+92+9+9+173+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+344+7+2+61+27+21+24+15+22+12+172+92+9+9+84+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+172+92+9+9+148+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+172+92+9+9+84+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+76+12+174+92+9+9+84+15+30+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+163+15+22+12+172+92+9+9+148+15+59+21+5+10+41+26+8+22+30|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+212+25+136+12+186+7+19+16+46+13+253+7+2+61+27+21+24+15+22+12+76+12+174+92+9+9+86|0+31+85+16+8+9+6+19+11+67+13+7+52+45+42+33+13+200|0+58+26+24+9+16+8+34+11+183+28+47+13+372+12+274+13+441+21+149+12+205+14+56+9+304+10+41+26+61|0+31+85+16+8+9+6+19+11+67+13+7+52+58+14+33+13+200	26.1	26.1|27.1|27.1|27.6|25.5|26.5|26.8|27.9|27.1|27|27.4|28.2|27.3|26.1|26.1|35|8.5|31.4	46	493.99	493.99|493.99|493.99|484.6|482.02|482.02|482.02|475.74|472.63|472.63|472.63|472.63|459|417.45|407.18|188.88|176.66|163.73	10	10.1
71	Ig lambda-2 chain C regions	7	6.25E+09	7	9.75E+09	2	14	11464.5	HUMAN	1			0.00E+00	3	14	1.60E+10	0	P0CG05	P0CG05|P0CG06|P0CF74	0+4+19+27+10+5+15+26	0+4+19+27+10+5+15+26|0+4+19+27+10+5+15+26|0+4+19+42+15+26	41.5	41.5|41.5|32	3	37.7	37.7|37.7|26.96	212	212.1
72	Monocyte differentiation antigen CD14	19	8.00E+09	15	7.44E+09	2	34	40703.1	HUMAN	1			0.00E+00	15	34	1.54E+10	0	P08571	P08571	0+71+16+5+19+6+31+10+113+29+8+67	0+71+16+5+19+6+31+10+113+29+8+67	49.8	49.8	15	189.24	189.24	55	55.1
73	Isoform 3 of Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	33	6.48E+09	32	8.54E+09	2	65	103848.8	HUMAN	1			0.00E+00	30	65	1.50E+10	0	Q13822-3	Q13822-3|E7EUF1|Q13822|Q13822-2|E5RIA2|E5RIB9	0+81+15+16+63+78+13+4+74+6+42+23+11+6+18+6+7+5+12+96+9+78+33+22+25+108+14+4+19	0+81+15+16+63+78+13+4+74+6+42+23+11+6+18+6+7+5+12+96+9+78+33+22+25+108+14+4+19|0+77+15+16+63+78+13+4+74+6+42+23+11+6+18+6+7+5+12+96+9+78+33+22+25+108+14+4+19|0+81+15+16+63+78+13+4+74+6+42+23+11+6+18+6+7+5+12+96+9+53+33+22+25+108+14+4+19|0+81+15+16+63+78+13+4+47+65+14+6+42+23+11+6+18+6+7+5+12+96+9+53+33+22+25+108+14+4+19|0+8+23+23+11+6+18+6+7+5+12+92+9+53+33+22+25+108+14+4+19|0+81+15+16+41+9	39.9	39.9|40.1|41.1|37.3|34.3|34.5	30	363.83	363.83|363.83|363.83|354.6|188.25|62.81	17	17.1
74	Protein AMBP	12	6.58E+09	14	8.31E+09	2	26	39911.7	HUMAN	1			0.00E+00	12	26	1.49E+10	0	P02760	P02760|S4R3Y4	0+88+12+40+9+9+44+24+20+29+18+4+12+2+15+8+15+3	0+88+12+40+9+9+44+24+20+29+18+4+12+2+15+8+15+3|0+88+12+40+9+9+27+53	41.1	41.1|20.1	12	151.4	151.4|46.51	76	76.1
75	Afamin	16	4.07E+09	19	1.09E+10	2	35	71007.7	HUMAN	1	2	3	7.18E+08	19	32	1.42E+10	0	P43652	P43652|O89020-3|O89020	0+68+6+7+26+15+7+1+17+8+59+69+8+19+14+29+19+45+7+13+16+36+17+50+23+3+14+3	0+68+6+7+26+15+7+1+17+8+59+69+8+19+14+29+19+45+7+13+16+36+17+50+23+3+14+3|0+122+7+360+11+111|0+122+7+360+11+108	38.8	38.8|2.9|2.9	21	195.41	195.41|13.1|13.1	53	53.1
76	ITIH4 protein	19	7.36E+09	19	7.02E+09	2	38	104107.3	HUMAN	1	3	5	1.81E+08	15	33	1.42E+10	0	B7ZKJ8	B7ZKJ8|Q14624|Q14624-2|Q14624-3|Q14624-4|A6X935|E9PVD2|E9Q5L2|A6X935-2	0+47+9+106+8+54+16+33+8+18+8+89+7+25+10+62+12+25+9+116+31+65+22+2+28+8+13+5+11+24+29+35	0+47+9+106+8+54+16+33+8+18+8+89+7+25+10+62+12+25+9+116+31+65+22+2+28+8+13+5+11+24+29+35|0+47+9+106+8+54+16+33+8+18+8+89+7+25+10+62+12+25+9+111+31+65+22+2+28+8+13+5+11+24+29+35|0+47+9+106+8+54+16+33+8+18+8+89+7+25+10+62+12+25+9+81+31+79+22+2+28+8+13+5+11+24+29+35|0+47+9+106+8+54+16+33+8+18+8+89+7+25+10+62+12+25+9+81+31+65+22+2+28+8+13+5+11+24+29+35|0+47+9+106+8+54+16+33+8+18+8+89+7+25+10+62+12+25+9+81+31+50+28+8+13+5+11+72|0+47+9+106+8+367+9+396|0+47+9+106+8+367+9+395|0+47+9+106+8+367+9+379|0+47+9+106+8+367+9+357	23.6	23.6|23.7|24.1|24.5|20.1|2.7|2.7|2.8|2.8	18	187.95	187.95|187.95|187.95|187.95|158.93|27.75|27.75|27.75|27.75	57	57.1
77	Ribonuclease pancreatic	8	6.13E+09	9	7.44E+09	2	17	18100.4	HUMAN	1			0.00E+00	5	17	1.36E+10	0	P07998	P07998|G3V357	0+38+21+8+23+12+11+6+7+6+24	0+38+21+8+23+12+11+6+7+6+24|0+27+23+12+11+6+7+6+24	55.1	55.1|56	5	65.61	65.61|51.86	151	151.1
78	EGF-containing fibulin-like extracellular matrix protein 1	17	8.32E+09	25	1.76E+10	2	42	56921.8	HUMAN	1	13	22	1.25E+10	8	20	1.34E+10	0	Q12805	Q12805|Q12805-3|Q12805-4|Q12805-2|Q8BPB5	0+43+13+4+13+67+45+9+33+62+10+16+13+2+28+4+34+8+23+2+54+10	0+43+13+4+13+67+45+9+33+62+10+16+13+2+28+4+34+8+23+2+54+10|0+43+13+3+13+67+45+9+33+62+10+16+13+2+28+4+34+8+23+2+54+10|0+43+13+4+13+66+45+9+33+62+10+16+13+2+28+4+34+8+23+2+54+10|0+35+13+4+13+67+45+9+33+62+10+16+13+2+28+4+34+8+23+2+54+10|0+43+13+4+13+67+16+133+10+31+28+29+9+33+30+18+6+10	53.9	53.9|54|54|54.8|25.3	21	236.84	236.84|236.84|236.84|236.84|130.91	44	44.1
79	Fibulin-1	24	7.41E+09	26	9.86E+09	2	50	81320.7	HUMAN	1	7	15	4.05E+09	17	35	1.32E+10	0	P23142	P23142|P23142-3|P23142-2|Q08879	0+48+11+3+28+18+9+29+33+49+13+3+17+75+33+3+9+4+20+26+6+29+31+53+21+8+70+1+11+14+14+14	0+48+11+3+28+18+9+29+33+49+13+3+17+75+33+3+9+4+20+26+6+29+31+53+21+8+70+1+11+14+14+14|0+48+11+3+28+18+9+29+33+49+13+3+17+75+33+3+9+4+20+26+6+29+31+53+12+39|0+48+11+3+28+18+9+29+33+49+13+3+17+75+33+3+9+4+20+26+6+29+31+53+12+4|0+230+13+95+17+78+6+29+31+110+12+23+7+54	46.3	46.3|36.9|39.2|12.1	24	293.01	293.01|204.91|204.91|74.2	29	29.1
